Human_Readable_Topic,update_date,Categories
Context Length Extrapolation for LLMs,2024-10-08,Optimization Techniques
Prompt Tuning for Few-Shot Learning Tasks,2024-10-08,Learning Paradigms
Diffusion-Based Video Generation,2024-10-10,Core Models and Architectures
Diffusion-Based Video Generation,2024-10-10,Applications and Use Cases
Multilingual Language Model Transfer,2024-10-08,Core Models and Architectures
Multilingual Language Model Transfer,2024-10-08,Learning Paradigms
Video Understanding with Large Multimodal Models,2024-10-08,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2024-10-08,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-10-21,Learning Paradigms
Diffusion Models for Text-Guided Image Generation and Editing,2024-10-08,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-10-08,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-10-08,Learning Paradigms
Text-to-3D Generation and Editing,2024-10-08,Applications and Use Cases
Action Recognition in Videos using Transformers,2024-10-10,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-10-10,Applications and Use Cases
Machine Translation with Large Language Models,2024-10-10,Applications and Use Cases
Temporal Event Forecasting and Reasoning,2024-11-19,Applications and Use Cases
Parameter-Efficient Fine-Tuning for Large Language Models,2023-12-20,Learning Paradigms
Parameter-Efficient Fine-Tuning for Large Language Models,2023-12-20,Optimization Techniques
Diffusion Models for Text-Guided Image Generation and Editing,2023-12-20,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-12-21,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-12-21,Applications and Use Cases
Diffusion-Based Video Generation,2023-12-21,Core Models and Architectures
Diffusion-Based Video Generation,2023-12-21,Applications and Use Cases
Optimizing GPU Utilization for Large Language Models,2023-12-25,Optimization Techniques
Optimizing GPU Utilization for Large Language Models,2023-12-25,Infrastructure and Tools
Molecular and Protein Representation Learning,2024-10-08,Core Models and Architectures
Molecular and Protein Representation Learning,2024-10-08,Applications and Use Cases
Personality Traits in Language Models,2024-06-04,Societal Impacts and Ethics
Personality Traits in Language Models,2024-06-04,Core Models and Architectures
Knowledge Editing in Large Language Models,2023-12-21,Core Models and Architectures
Knowledge Editing in Large Language Models,2023-12-21,Applications and Use Cases
Multilingual Language Model Transfer,2023-12-21,Core Models and Architectures
Multilingual Language Model Transfer,2023-12-21,Learning Paradigms
Diffusion Transformers for Image Generation,2024-01-04,Core Models and Architectures
Diffusion Models for Text-Guided Image Generation and Editing,2023-12-22,Applications and Use Cases
Multilingual Language Model Transfer,2023-12-22,Core Models and Architectures
Multilingual Language Model Transfer,2023-12-22,Learning Paradigms
Text-to-3D Generation and Editing,2024-04-11,Applications and Use Cases
Backdoor Attacks on Large Language Models,2024-03-11,Societal Impacts and Ethics
Backdoor Attacks on Large Language Models,2024-03-11,Evaluation and Benchmarks
Financial NLP and Large Language Models,2023-12-25,Applications and Use Cases
Molecular and Protein Representation Learning,2024-03-20,Core Models and Architectures
Molecular and Protein Representation Learning,2024-03-20,Applications and Use Cases
Personalization of Large Language Models,2023-12-25,Learning Paradigms
Personalization of Large Language Models,2023-12-25,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-06-04,Applications and Use Cases
Memory-Efficient Zeroth-Order Optimizers,2023-12-27,Optimization Techniques
Deep Learning Neural Networks,2023-12-27,Core Models and Architectures
Reinforcement Learning with Large Language Models,2023-12-27,Learning Paradigms
Personalized Recommendation Systems,2024-07-31,Applications and Use Cases
Language Model Privacy and Memorization Risks,2023-12-27,Societal Impacts and Ethics
Personalized Recommendation Systems,2024-01-04,Applications and Use Cases
Parameter-Efficient Transfer Learning and Pre-Training,2023-12-27,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2023-12-27,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-07-04,Learning Paradigms
Personalized Recommendation Systems,2024-04-02,Applications and Use Cases
Concept Erasure in Text-to-Image Models,2024-03-13,Societal Impacts and Ethics
Concept Erasure in Text-to-Image Models,2024-03-13,Core Models and Architectures
Speech-to-Text and Audio Processing,2024-10-08,Applications and Use Cases
Modular Symmetry in Quark Flavor Models,2023-12-29,Core Models and Architectures
Causal Analysis with Large Language Models,2024-10-29,Core Models and Architectures
Causal Analysis with Large Language Models,2024-10-29,Societal Impacts and Ethics
Long-Context Language Model Evaluation,2024-06-25,Evaluation and Benchmarks
Long-Context Language Model Evaluation,2024-06-25,Core Models and Architectures
Optimization Methods for Neural Networks,2024-01-01,Optimization Techniques
Federated Learning for Large Language Models,2024-06-04,Learning Paradigms
Federated Learning for Large Language Models,2024-06-04,Optimization Techniques
Backdoor Attacks on Large Language Models,2024-01-10,Societal Impacts and Ethics
Backdoor Attacks on Large Language Models,2024-01-10,Evaluation and Benchmarks
Multimodal Large Language Models (MLLMs),2024-01-02,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-01-02,Applications and Use Cases
Defect Classification in Manufacturing,2024-01-02,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-07-02,Learning Paradigms
Context Length Extrapolation for LLMs,2024-07-12,Core Models and Architectures
Context Length Extrapolation for LLMs,2024-07-12,Optimization Techniques
Robot Manipulation and Autonomous Systems,2024-05-22,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-01-04,Applications and Use Cases
Multilingual Language Model Transfer,2024-05-22,Core Models and Architectures
Multilingual Language Model Transfer,2024-05-22,Learning Paradigms
Speech-to-Text and Audio Processing,2024-02-08,Applications and Use Cases
Continual Learning for Image Segmentation,2024-08-27,Learning Paradigms
Temporal Event Forecasting and Reasoning,2024-08-28,Applications and Use Cases
Multimodal Image Captioning Models,2024-08-28,Applications and Use Cases
Multimodal Image Captioning Models,2024-08-28,Core Models and Architectures
Offline-to-Online Reinforcement Learning,2024-08-28,Learning Paradigms
Offline-to-Online Reinforcement Learning,2024-08-28,Optimization Techniques
Manifold Learning and Dimensionality Reduction,2024-08-28,Core Models and Architectures
Vision-Language Prompt Learning,2024-08-28,Core Models and Architectures
Vision-Language Prompt Learning,2024-08-28,Learning Paradigms
Long-Context Language Model Evaluation,2024-08-28,Evaluation and Benchmarks
Long-Context Language Model Evaluation,2024-08-28,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-08-28,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-08-28,Learning Paradigms
Molecular and Protein Representation Learning,2024-08-29,Core Models and Architectures
Molecular and Protein Representation Learning,2024-08-29,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-10-02,Learning Paradigms
Video Understanding with Large Multimodal Models,2024-08-29,Applications and Use Cases
Astronomy and Astrophysics Research,2024-10-21,Applications and Use Cases
Backdoor Attacks and Defenses in Deep Learning,2024-08-29,Societal Impacts and Ethics
Backdoor Attacks and Defenses in Deep Learning,2024-08-29,Core Models and Architectures
Merging Large Language Models for Enhanced Expertise,2024-09-10,Core Models and Architectures
Merging Large Language Models for Enhanced Expertise,2024-09-10,Learning Paradigms
Deep Learning Neural Networks,2024-08-30,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-30,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-30,Applications and Use Cases
Detecting Vulnerabilities in Code with Large Language Models,2024-08-30,Applications and Use Cases
Massive MIMO Channel Prediction and Reconstruction,2024-08-30,Core Models and Architectures
Event Extraction and Semantic Annotation,2024-09-02,Applications and Use Cases
Causal Analysis with Large Language Models,2024-09-02,Core Models and Architectures
Causal Analysis with Large Language Models,2024-09-02,Societal Impacts and Ethics
Surgical Video Analysis and Recognition,2024-10-22,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-09-04,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-09-04,Infrastructure and Tools
Human Activity Recognition with Wearable Sensors,2024-09-04,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-09-04,Learning Paradigms
Electroencephalogram Analysis and Modeling,2024-09-04,Applications and Use Cases
In-Context Learning in Large Language Models,2024-09-10,Core Models and Architectures
In-Context Learning in Large Language Models,2024-09-10,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-09-04,Learning Paradigms
Modular Symmetry in Quark Flavor Models,2024-09-04,Core Models and Architectures
Large Language Model Hallucinations,2024-09-04,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-09-04,Evaluation and Benchmarks
Dialogue Systems and Conversational AI,2024-09-04,Applications and Use Cases
Video Understanding with Large Multimodal Models,2024-09-04,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-09-26,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-09-04,Applications and Use Cases
Human Mobility and Traffic Prediction,2024-09-04,Applications and Use Cases
Personalized Recommendation Systems,2024-09-04,Applications and Use Cases
Improving Transformers for Arithmetic Tasks,2024-09-04,Core Models and Architectures
Improving Transformers for Arithmetic Tasks,2024-09-04,Learning Paradigms
Galaxy Classification in Astronomy,2024-09-04,Applications and Use Cases
Vision-Language Prompt Learning,2024-09-10,Core Models and Architectures
Vision-Language Prompt Learning,2024-09-10,Learning Paradigms
3D Point Cloud Processing and Learning,2024-09-17,Core Models and Architectures
Federated Learning for Large Language Models,2024-09-05,Learning Paradigms
Federated Learning for Large Language Models,2024-09-05,Optimization Techniques
Partial Differential Equation Solvers,2024-10-07,Applications and Use Cases
Machine Translation with Large Language Models,2024-09-05,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-11-04,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-11-04,Applications and Use Cases
Chart Understanding with Large Foundation Models,2024-09-06,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-09-06,Applications and Use Cases
Deep Neural Network Watermarking Techniques,2024-09-16,Societal Impacts and Ethics
Deep Neural Network Watermarking Techniques,2024-09-16,Infrastructure and Tools
In-Context Learning in Large Language Models,2024-09-10,Core Models and Architectures
In-Context Learning in Large Language Models,2024-09-10,Learning Paradigms
Action Recognition in Videos using Transformers,2023-08-07,Core Models and Architectures
Action Recognition in Videos using Transformers,2023-08-07,Applications and Use Cases
Parameter-Efficient Transfer Learning and Pre-Training,2023-08-07,Core Models and Architectures
